Code,Area,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,
E09000001,City of London,"132,500","115,000","133,875","115,000","132,621","135,000","138,250","151,000","168,250","160,000","162,500","195,000","181,950","171,000","187,000","185,000","191,498","196,000","220,000","232,000","237,950","249,000","212,000","262,550","200,769","235,000","267,000","302,500","312,000","280,000","275,000","280,000","292,000","300,000","310,000","301,250","290,000","292,250","315,000","315,500","300,000","307,500","367,500","370,000","382,500","392,500","445,000","440,250","395,000","352,000","473,500","362,500","370,000","345,500","431,500","471,250","421,000","430,000","485,000","429,950","475,000","440,750","460,000","482,000","480,000","425,000","482,500","499,000","605,000","601,000","599,000","655,000","685,000","720,000","752,125","850,000","837,500","799,999","827,500"
E09000002,Barking and Dagenham,"52,000","49,000","49,250","49,500","51,000","52,000","54,000","55,500","57,500","59,250","59,995","60,000","62,500","63,000","64,748","68,000","71,998","76,000","79,000","82,000","82,000","86,000","90,000","97,000","98,000","106,995","121,500","131,500","135,000","137,500","142,000","147,995","150,000","158,000","165,000","165,000","162,000","160,000","163,000","165,000","162,000","165,000","170,000","172,000","177,000","180,000","190,000","190,000","195,000","193,000","190,000","180,000","170,000","155,000","155,000","160,000","167,000","170,000","173,000","173,998","170,000","166,500","173,000","169,000","173,000","170,498","175,000","177,998","176,000","176,995","180,000","185,050","200,000","212,250","222,500","220,000","227,000","240,000","255,000"
E09000003,Barnet,"82,500","84,000","91,875","89,500","94,500","94,000","105,000","112,000","109,750","116,000","115,000","113,250","123,500","129,950","140,000","143,000","155,000","160,000","159,000","160,000","160,000","171,000","181,750","178,000","189,000","200,000","225,000","214,950","227,500","230,000","235,000","240,000","245,000","249,995","250,000","249,000","244,500","250,000","265,000","249,995","250,000","269,000","290,000","279,973","285,000","282,500","314,950","302,225","275,000","284,475","295,000","270,000","260,000","277,475","300,000","300,000","317,750","320,000","335,000","327,000","331,000","320,000","330,000","315,000","305,000","343,500","342,500","325,000","315,000","325,000","365,000","375,000","375,000","382,250","435,000","405,000","430,000","446,500","475,000"
E09000004,Bexley,"60,500","65,000","64,500","69,000","69,725","71,000","71,000","73,998","78,000","78,500","79,000","80,000","81,000","84,995","86,000","92,000","93,500","95,998","105,000","104,000","107,000","110,000","119,995","121,000","125,000","134,250","145,000","152,000","155,000","162,500","165,000","169,995","166,500","175,000","179,995","180,000","180,000","180,500","185,000","185,250","185,000","192,500","195,000","201,500","200,500","209,500","218,250","217,500","215,000","212,000","210,000","195,000","186,000","199,498","198,000","198,000","212,000","211,750","215,000","218,000","208,000","220,000","220,000","215,000","205,000","210,000","217,000","210,000","220,000","220,000","225,000","232,750","241,000","250,000","260,000","260,000","257,000","257,000","294,998"
E09000005,Brent,"71,000","71,500","75,000","73,000","76,000","80,000","85,000","88,563","89,000","95,000","98,750","102,000","103,000","105,000","115,000","125,000","130,000","140,000","141,000","146,000","145,000","157,000","162,000","162,500","165,000","185,000","200,000","200,000","203,000","208,995","217,500","216,000","217,000","228,000","229,950","223,500","235,000","240,000","246,000","245,000","243,000","248,500","250,000","258,950","260,000","274,000","295,000","290,000","280,000","290,000","275,000","260,000","250,000","272,250","281,000","275,000","250,000","273,000","300,000","294,999","288,000","296,500","310,000","302,750","305,000","327,250","325,000","325,000","315,875","340,000","369,000","348,000","360,000","375,000","405,000","397,050","407,500","424,000","428,205"
E09000006,Bromley,"76,150","80,000","82,875","82,000","82,000","85,000","88,500","90,000","93,000","97,500","104,950","102,500","101,000","115,250","120,000","122,000","127,000","135,000","143,000","138,000","138,000","149,850","155,000","158,500","159,950","172,000","186,500","189,950","198,000","200,000","207,250","210,000","212,500","225,000","230,000","233,000","220,000","225,000","232,000","240,000","234,000","238,750","246,000","248,000","248,800","250,000","274,500","270,000","259,000","250,000","250,000","249,000","241,500","240,000","250,000","250,000","267,250","277,250","285,000","272,500","260,000","275,000","295,000","270,000","258,500","277,000","290,000","280,000","275,000","285,000","302,950","305,000","300,000","330,000","355,000","350,000","348,000","367,998","399,998"
E09000007,Camden,"112,250","135,000","127,500","130,000","140,000","146,125","142,000","155,000","150,000","160,000","165,000","167,000","170,000","185,000","197,000","205,000","230,000","235,000","245,000","240,000","247,000","249,999","250,000","250,000","250,000","275,000","296,250","286,000","269,475","290,000","284,500","263,000","280,000","313,000","320,000","300,000","305,000","335,000","335,000","325,000","355,250","345,000","352,250","379,475","410,000","390,000","420,000","425,000","433,000","470,000","460,000","400,000","400,000","412,500","420,000","422,500","455,000","457,500","485,000","490,000","499,500","470,000","485,000","475,000","475,000","490,000","525,000","534,500","490,000","588,750","632,000","595,077","625,000","692,500","698,100","679,000","655,000","672,500","735,000"
E09000008,Croydon,"60,000","63,000","66,995","65,500","66,375","69,302","74,000","74,000","74,000","77,000","81,000","81,950","81,500","86,000","90,000","94,950","98,500","110,000","115,000","115,375","115,000","122,500","133,000","130,000","134,725","148,000","156,000","160,000","166,950","170,000","175,000","177,725","180,000","184,725","190,000","190,000","191,000","199,950","196,000","193,000","194,500","200,500","210,000","213,000","215,000","218,000","229,950","229,950","230,000","230,000","232,000","217,500","210,000","200,000","202,500","200,000","218,000","219,250","229,725","219,975","210,000","218,000","225,000","220,000","220,000","235,000","230,000","234,000","227,000","226,500","248,000","244,725","249,950","250,000","283,100","280,000","277,500","291,000","315,000"
E09000009,Ealing,"75,000","80,000","82,000","82,000","83,000","87,250","96,000","95,500","95,000","106,000","105,000","101,725","109,950","120,000","129,950","137,000","137,000","148,000","145,725","146,000","150,000","160,000","171,000","162,950","170,000","185,000","205,000","201,500","202,500","215,000","212,250","216,500","224,000","230,000","242,500","236,000","232,000","238,500","242,000","235,000","240,000","243,000","250,000","249,999","250,000","265,000","280,000","286,750","284,000","277,500","250,000","250,000","248,500","260,000","271,000","262,000","283,500","269,475","282,000","278,638","281,000","284,000","305,000","297,000","276,750","314,975","320,000","325,000","309,000","340,000","332,000","330,000","365,000","380,000","407,500","395,000","400,000","408,250","450,000"
E09000010,Enfield,"64,748","70,000","71,000","72,838","73,000","78,500","79,000","80,000","82,500","83,000","85,500","87,500","87,000","90,000","96,000","98,500","105,000","113,000","118,000","117,500","119,995","126,000","133,000","134,000","132,500","147,000","160,000","170,000","178,000","173,000","183,500","183,000","182,000","191,000","200,000","200,000","200,000","200,000","200,000","200,000","203,250","210,000","218,000","213,000","220,000","234,000","240,000","239,995","235,000","234,600","235,000","222,500","220,000","223,000","228,000","223,000","235,000","240,000","246,500","240,000","245,000","228,250","245,000","242,000","237,000","246,000","250,000","250,000","249,975","248,500","250,000","270,000","266,998","280,000","300,000","300,000","293,000","314,995","335,000"
E09000011,Greenwich,"60,000","65,500","66,000","62,000","60,000","65,000","68,000","67,625","71,500","74,250","77,000","77,000","78,995","85,000","95,000","100,000","94,100","106,500","112,500","109,500","114,000","118,995","127,000","125,000","135,000","145,000","153,000","155,748","159,000","167,500","175,000","172,000","170,000","177,495","189,995","187,000","195,000","200,000","199,995","200,000","196,000","204,000","219,995","210,000","211,498","220,000","229,995","230,000","230,000","240,000","230,000","215,000","204,500","214,500","233,000","220,250","245,000","245,000","247,500","240,000","245,000","250,000","250,000","235,750","240,000","247,000","250,000","245,000","250,000","265,000","280,000","285,000","289,000","339,450","315,000","315,000","300,000","322,000","351,000"
E09000012,Hackney,"64,000","62,325","69,975","67,500","68,000","75,000","78,000","82,250","82,000","87,250","87,250","94,000","95,000","110,000","118,000","119,500","129,000","135,000","139,000","140,000","140,000","160,000","167,500","170,000","160,000","175,000","188,000","195,000","185,000","195,000","200,000","197,000","200,000","215,000","220,000","217,000","210,000","220,000","225,000","225,000","234,000","241,000","250,000","250,000","249,995","250,000","280,000","278,000","260,000","288,000","262,000","250,000","275,000","240,000","299,000","280,000","288,250","306,750","305,000","275,000","295,975","294,200","325,000","320,000","290,000","320,000","330,000","350,000","340,750","382,000","385,000","375,000","405,000","430,000","446,555","435,000","413,625","488,792","490,000"
E09000013,Hammersmith and Fulham,"115,000","115,000","120,500","122,500","122,500","127,500","145,000","140,000","153,625","156,450","162,000","155,000","160,750","175,000","200,000","210,000","215,000","220,000","220,000","230,000","230,000","235,000","249,950","249,925","245,000","269,000","273,000","270,000","262,500","280,250","280,000","282,500","288,000","325,000","309,000","280,000","297,000","330,000","340,000","315,000","330,000","352,500","366,500","350,000","390,000","399,950","450,000","413,500","449,950","426,000","449,000","400,000","400,000","390,000","430,000","430,000","435,000","460,000","475,000","433,750","437,475","480,000","490,000","457,250","452,500","495,000","499,950","500,000","539,426","525,000","600,000","570,000","585,000","630,000","726,500","735,000","702,500","725,000","741,750"
E09000014,Haringey,"66,750","70,000","72,750","75,000","74,500","78,000","85,000","85,000","86,500","93,475","97,000","90,000","91,000","109,998","118,250","119,000","119,000","135,000","135,000","134,750","145,000","148,000","153,000","153,000","155,000","172,750","190,000","192,500","184,000","190,000","195,500","195,000","195,000","212,250","223,000","220,000","215,000","230,000","230,000","224,500","224,500","235,000","248,000","243,000","249,950","267,750","286,500","278,000","261,500","273,500","250,000","250,000","247,500","250,000","280,000","255,000","275,000","285,000","304,000","290,000","300,000","309,225","312,750","291,000","299,950","328,000","310,000","320,000","305,000","325,000","360,000","345,000","359,548","400,000","435,000","420,000","408,250","400,000","474,475"
E09000015,Harrow,"78,500","80,000","83,000","85,000","86,500","91,625","99,000","101,250","100,000","105,000","115,000","107,000","111,000","116,500","127,000","135,000","140,000","145,000","150,000","151,500","150,000","161,500","170,000","173,500","175,500","190,000","206,500","215,000","215,650","230,000","235,000","234,750","230,000","242,500","249,950","249,700","244,750","248,250","249,950","250,000","247,000","250,000","263,500","268,000","260,000","275,975","295,000","292,950","284,000","277,500","277,000","250,000","246,000","250,000","260,125","270,000","280,000","285,000","300,000","304,000","290,000","285,000","300,000","297,000","285,000","313,000","308,000","299,500","308,125","320,000","335,725","330,000","349,000","360,000","381,000","386,000","385,000","392,000","410,000"
E09000016,Havering,"66,250","67,000","68,995","70,000","68,500","73,500","75,500","77,000","77,000","83,625","84,500","85,000","85,000","89,000","90,000","94,500","97,500","110,000","109,000","116,000","111,000","119,998","124,000","128,000","127,613","140,000","149,000","159,000","165,000","170,000","175,000","180,000","180,000","188,000","192,500","190,000","195,000","195,000","195,500","197,500","195,000","200,000","210,000","209,995","210,000","219,973","235,000","226,000","226,000","225,000","225,000","208,248","190,000","195,000","200,000","203,850","212,500","222,500","225,500","221,000","215,000","222,500","217,500","227,500","209,000","225,000","229,000","230,000","223,000","225,750","235,000","235,000","248,000","250,000","250,000","270,000","270,000","278,000","300,000"
E09000017,Hillingdon,"70,000","71,250","74,000","74,000","76,000","78,000","82,000","84,000","83,150","88,000","92,000","91,000","92,000","99,995","107,500","114,000","116,000","124,500","128,500","130,000","132,000","135,000","143,125","149,000","149,950","160,000","174,000","180,975","183,748","190,000","195,998","195,500","195,995","208,000","220,000","215,000","215,000","217,000","218,000","222,000","225,000","225,000","234,000","237,000","232,000","242,000","249,000","249,950","245,000","248,000","248,000","240,000","220,000","220,000","237,500","235,000","245,000","250,000","250,000","250,000","249,950","250,000","250,000","245,000","238,000","265,000","260,000","260,000","250,000","259,973","267,750","280,000","285,000","295,000","317,000","325,000","332,000","330,000","360,000"
E09000018,Hounslow,"71,500","73,000","74,000","75,000","74,250","78,050","83,500","86,000","89,973","95,000","98,000","98,250","100,000","109,123","115,000","125,000","125,000","134,000","132,500","133,750","135,000","143,950","155,000","155,000","159,000","169,950","178,500","181,000","185,000","199,950","202,750","202,500","197,000","220,000","220,000","224,000","217,500","220,000","219,475","225,000","228,000","233,495","240,000","240,000","245,000","249,950","250,000","265,000","249,950","250,000","245,000","234,998","224,000","232,000","250,000","238,500","244,000","249,973","250,000","250,000","266,000","250,000","250,000","250,000","249,950","275,000","275,000","265,000","271,750","290,000","280,000","280,000","300,000","323,000","329,950","315,500","323,500","342,500","380,000"
E09000019,Islington,"95,000","102,000","103,500","101,500","109,000","126,000","117,000","119,500","129,950","153,000","148,500","149,998","152,500","160,000","175,000","195,000","195,000","195,000","199,950","209,500","210,000","220,000","215,000","212,748","233,000","238,500","246,500","249,250","234,100","249,950","250,000","244,000","249,925","243,150","255,000","260,000","260,000","265,000","275,000","270,000","278,000","299,000","300,000","310,000","319,999","350,000","360,000","350,000","370,000","363,200","350,000","330,000","340,000","340,000","350,000","346,551","362,500","383,153","395,000","400,000","400,000","395,000","407,000","385,000","385,000","429,750","412,500","394,975","445,000","460,000","465,000","475,500","500,000","525,500","550,000","526,000","542,500","599,975","620,000"
E09000020,Kensington and Chelsea,"178,000","188,000","210,000","195,000","205,000","223,000","239,250","230,000","233,750","245,000","246,000","249,500","260,075","257,630","290,000","315,000","330,000","330,000","345,000","358,500","350,000","350,000","385,000","355,000","370,000","400,000","425,000","394,975","410,000","375,000","405,000","425,000","425,000","455,000","492,500","445,000","450,000","447,000","490,000","470,000","499,999","533,500","512,000","560,000","620,000","650,000","700,000","600,000","695,000","720,000","740,000","617,500","610,000","670,000","700,000","685,000","725,000","739,576","760,000","772,500","791,400","785,250","775,000","815,000","825,000","885,000","950,000","887,857","950,000","925,000","1,050,000","983,342","1,100,000","1,215,000","1,275,000","1,150,000","1,282,500","1,155,000","1,207,750"
E09000021,Kingston upon Thames,"82,500","88,000","87,500","86,000","92,000","88,625","94,495","104,000","100,000","110,625","114,950","106,500","111,500","122,000","134,950","140,000","142,500","153,250","156,000","162,000","155,500","167,000","172,000","180,000","179,000","193,250","204,500","214,000","205,000","215,000","220,000","220,000","219,000","235,000","245,000","237,500","240,000","235,000","245,000","233,550","239,950","249,950","260,000","265,000","265,500","289,975","304,975","297,500","289,000","285,000","300,000","250,000","250,000","250,000","280,000","280,000","300,000","290,000","310,000","309,950","294,000","293,750","306,000","300,000","285,000","340,000","320,000","321,000","321,250","330,000","340,000","345,625","360,000","382,500","395,000","399,950","395,000","400,000","430,000"
E09000022,Lambeth,"65,250","74,500","75,500","76,500","78,000","84,500","87,975","87,125","90,000","106,000","110,000","100,000","103,000","114,305","135,000","127,000","139,995","164,725","163,000","160,000","160,000","177,000","176,375","170,000","170,000","188,000","206,000","206,495","195,000","197,500","210,000","204,000","210,000","220,000","230,000","220,000","217,500","225,000","235,000","234,975","233,000","246,500","249,950","249,995","255,000","280,000","295,000","280,000","281,000","278,000","285,000","250,000","262,250","250,000","280,000","290,000","300,000","305,000","313,000","290,000","293,500","308,500","320,500","309,950","288,250","330,000","337,500","327,975","320,000","335,000","362,000","380,000","395,000","425,000","420,000","430,000","436,500","440,000","490,000"
E09000023,Lewisham,"55,000","56,950","58,500","58,500","59,995","62,000","64,995","67,000","69,250","70,000","75,000","72,000","72,500","80,000","85,000","85,000","90,725","99,250","107,000","105,000","109,000","118,000","128,000","125,000","128,000","139,000","154,000","153,250","155,000","162,000","167,000","170,000","170,000","178,000","185,000","185,000","175,000","184,973","189,998","189,973","187,500","205,000","209,000","208,000","212,500","215,000","234,500","232,495","230,000","227,750","232,000","211,500","205,000","217,250","224,000","214,375","235,000","235,000","238,000","230,000","237,750","234,500","246,000","240,000","235,000","250,000","250,000","250,000","245,000","250,000","266,000","275,000","286,750","315,000","325,000","328,000","323,250","345,000","380,000"
